PROIND,NCOMP,RELPAR,ETAMi,SESSO,RPNUC2,REDPRMi,TLADO,ATTFIS,CPESO,COLAZ,SALUMI,COV,CBOV,CMAIAL,VERD,POMOD,FRUTTA,SNACK,DOLCI,QTSALE,IODIO,BGAS,RADIO,INCOMU6,INTATT8,INTATT7BN,INTATT30A,INTATT28B,INTATT14,INTATT11,PCOPEPH,USOCEL,LQUOT,QUONLINE,LIBRI,RIVSET,CHIES,RELFAM,DIBPO,FINAS,POLITI,GORAR,CORAR,USOSS,GOUSL,COUSL,UFFPOS,GOSPO,COSPO,BANCA,BANCM,USOAUT,ETICHET,BIOLOG,ALOCAL,GCARTE,ARUMOR,TRASPO,USAGETT,SICURO,VOTOVI,FIDU1,FIDU2,PUNTIFI1,PUNTIFI5,PUNTIFI8,PUNTIFI10,PUNTIFI2,PUNTIFI3,PUNTIFI12,FIDMED,FIDINF,FIDSCIE,MH,SPIDIF6,SPIDIF8,LIBFAM,NTELCELM
1,2,1,10,2,0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,8.0,1.0,5.0,7.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,6.0,2.0,2.0,6.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,7.0,2.0,1.0,4.0,4.0,6.0,10.0,4.0,6.0,6.0,6.0,6.0,6.0,60.0,4,8,4,2.0
2,2,4,14,1,1,3.0,2.0,1.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,8.0,1.0,5.0,8.0,4.0,1.0,4.0,3.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,8.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,92.0,4,8,2,1.0
1,4,1,10,2,1,1.0,2.0,1.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,8.0,1.0,5.0,7.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,5.0,1.0,6.0,2.0,6.0,1.0,2.0,6.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,4.0,4.0,3.0,56.0,4,8,2,2.0
2,4,2,11,1,2,6.0,1.0,1.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,7.0,1.0,5.0,7.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,6.0,5.0,7.0,1.0,5.0,6.0,1.0,5.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,6.0,3.0,3.0,1.0,48.0,4,8,2,2.0
1,2,1,11,2,1,1.0,2.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0,8.0,2.0,5.0,7.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,5.0,2.0,7.0,1.0,5.0,7.0,2.0,5.0,7.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,2.0,5.0,5.0,6.0,6.0,3.0,7.0,9.0,8.0,7.0,7.0,56.0,4,8,2,1.0
2,3,6,8,2,3,6.0,2.0,2.0,3.0,5.0,2.0,5.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,7.0,1.0,6.0,8.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,88.0,4,8,3,3.0
1,1,1,11,2,0,2.0,1.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,8.0,2.0,6.0,7.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,5.0,1.0,1.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,4.0,2.0,3.0,6.0,2.0,2.0,6.0,5.0,0.0,0.0,5.0,5.0,10.0,10.0,10.0,5.0,68.0,3,8,3,2.0
1,4,1,12,2,1,1.0,2.0,4.0,1.0,3.0,4.0,5.0,3.0,5.0,1.0,3.0,2.0,5.0,4.0,2.0,2.0,6.0,2.0,7.0,2.0,6.0,8.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,7.0,1.0,1.0,2.0,2.0,0.0,4.0,5.0,7.0,10.0,6.0,8.0,8.0,48.0,4,8,6,4.0
3,3,6,11,2,3,1.0,2.0,1.0,5.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,1.0,5.0,4.0,3.0,1.0,6.0,1.0,8.0,2.0,5.0,7.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,1.0,6.0,5.0,3.0,1.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,8.0,1.0,1.0,5.0,5.0,5.0,8.0,5.0,8.0,10.0,7.0,7.0,7.0,52.0,4,8,1,1.0
1,4,1,11,2,1,6.0,2.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,6.0,1.0,8.0,1.0,5.0,7.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,1.0,6.0,5.0,7.0,1.0,5.0,7.0,2.0,2.0,7.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,9.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,9.0,9.0,7.0,72.0,4,8,4,4.0
