feature,f_score_sprener,f_score_spracqua,combined_score,selected
ALOCAL,1167.3055736496099,1110.6944737705044,2278.0000474201142,True
ETICHET,1063.5160357832988,1054.3723979352135,2117.8884337185123,True
ARUMOR,968.1385150808155,983.5842417113406,1951.7227567921561,True
BIOLOG,716.912454767203,723.7757890177932,1440.6882437849963,True
QTSALE,544.218989121585,548.93048883876,1093.149477960345,True
USAGETT,574.2896905285319,474.2317305462941,1048.5214210748259,True
ETAMi,484.41231306599593,332.8030488689656,817.2153619349615,True
TRASPO,348.96088864081537,343.8285149416781,692.7894035824935,True
USOCEL,342.0581280746367,349.4627154373358,691.5208435119725,True
POLITI,333.0044855493783,320.6963243036202,653.7008098529984,True
PUNTIFI12,323.697694453972,310.4641257461852,634.1618202001572,True
SNACK,318.3646385379075,284.2069685660111,602.5716071039186,True
PROIND,339.66279252230714,193.52927109908327,533.1920636213904,True
RELPAR,305.86488197805824,192.92473354899303,498.7896155270513,True
FIDU2,238.71452026539183,257.2118792827161,495.92639954810795,True
RPNUC2,275.8519109644288,197.19407603442733,473.0459869988561,True
BGAS,229.06221893260778,221.22269742758672,450.28491636019453,True
PUNTIFI3,221.2313674212442,216.2407597960442,437.4721272172884,True
GCARTE,199.74543825215528,194.27743652364694,394.0228747758022,True
INTATT30A,192.80838647492342,188.87761667328257,381.686003148206,True
UFFPOS,206.07751597947703,139.70165014760835,345.7791661270854,True
ALCOL,164.70408605980123,166.63540397201547,331.3394900318167,True
COSPO,187.32195475087337,141.29868314462723,328.62063789550064,True
GOSPO,192.962261370822,135.62331532693923,328.5855766977612,True
INTTEMPO,154.57640150602515,163.9669388359629,318.543340341988,True
SICURO,169.11534153028902,146.77108074613412,315.8864222764231,True
INTATT28B,171.27645105497962,144.13678018519911,315.41323124017873,True
VOTOVI,159.8796050964165,151.61871740686115,311.4983225032777,True
FRUTTA,154.774897247479,144.71811637703158,299.4930136245106,True
NTELCELM,170.98268438367094,115.28977277050475,286.2724571541757,True
DOPFIL,147.4704810631691,135.7641722341732,283.23465329734233,True
FIDSCIE,140.90958712819946,139.6993803387065,280.60896746690594,True
PCTEMPO,141.8919807968062,137.93745161812063,279.8294324149268,True
FIDMED,140.087005340743,137.36123935269578,277.44824469343877,True
BANCM,147.01322558360135,120.46132285166256,267.4745484352639,True
VERD,129.7155274363498,132.30612871846182,262.0216561548116,True
FIDU1,122.38539419646388,137.79140108736217,260.17679528382604,True
FIDINF,124.18254329986073,128.80916998870683,252.99171328856755,True
NCOMP,150.8028343201712,99.21922760030044,250.02206192047163,True
BFPAS,119.70168108220358,129.15137181628526,248.85305289848884,True
STCIVMi,131.981333516665,108.71134186346853,240.69267538013352,True
COUSL,139.12532280191184,100.43532301343464,239.56064581534648,True
PCOPE_FILE,127.35447534306098,107.92703827698209,235.28151362004309,True
PCOPEPH,120.40914559253503,113.57571502014363,233.98486061267866,True
SALUMI,111.29001602592272,122.26526275002355,233.55527877594628,True
USOAUT,113.59102138111422,114.89959832717103,228.49061970828524,True
CORAR,131.6478362015338,94.84437262985928,226.4922088313931,True
LIQUOR,117.34042191042268,108.46506385756724,225.80548576798992,True
GOUSL,130.63483284057799,93.4425888419757,224.07742168255368,True
VGIOC,127.46596842358252,94.03326718400801,221.49923560759055,True
COM_STUD,118.94309202640716,96.77243805761007,215.71553008401725,True
INTATT7BN,110.05086307352039,105.08073513098195,215.13159820450232,True
PWEB,103.38887572140307,111.3981374911584,214.78701321256148,True
LIBFAM,97.52820200792976,106.57845021647668,204.10665222440645,True
COV,100.19325540985017,98.22573730062972,198.41899271047987,True
PUNTIFI10,93.87851893238587,98.49627765375703,192.3747965861429,True
TELCEL,93.17367073523906,89.53420402849473,182.7078747637338,True
GORAR,105.49375457375643,75.93619359259796,181.4299481663544,True
LIMITA,86.29473003735193,92.97874987571221,179.27347991306414,True
LIBRI,80.02729285774873,95.81004460627202,175.83733746402075,True
AMICI,106.6045566986813,68.20654825715023,174.81110495583152,True
MATDID,104.38255968350023,67.243678772215,171.62623845571522,True
LAVPAS,103.54210152822566,63.54159866957309,167.08370019779875,True
ASSANZAGG,77.22619644461236,85.16272670018508,162.38892314479745,True
USOSS,96.77966159000431,65.49298490449797,162.27264649450228,True
AMAR,81.94014861831594,82.64645561709081,164.58660423540675,False
SALUT,79.32948958976756,83.95426431379569,163.28375390356325,False
ARTRO,91.17076247491157,70.68302859799815,161.8537910729097,False
FUTUASP,90.80940580537371,70.53582580124285,161.34523160661655,False
NEUROB,78.72586471619356,79.86356297054455,158.5894276867381,False
ANAL,80.75131698015124,74.0116991774638,154.76301615761503,False
CHIES,85.0381657518093,69.10446331257663,154.14262906438591,False
ALCOL12,80.45607792422496,72.48543232516565,152.9415102493906,False
CMAIAL,70.4187009310102,80.96616458262464,151.38486551363485,False
RADIO,78.55381226955004,71.91151093294896,150.465323202499,False
RIVSET,79.33784850911843,71.11637963769054,150.454228146809,False
RELFAM,68.69827119225006,81.5833882438201,150.28165943607016,False
QUONLINE,79.12464354378982,70.58175302603995,149.70639656982976,False
IPAR,83.23940466005952,62.99045470910678,146.2298593691663,False
REDPRMi,95.8781163239071,50.29992282910118,146.17803915300829,False
CPESO,69.68477032260185,73.34364480694941,143.02841512955126,False
POMOD,62.64477834956637,73.6050462345435,136.24982458410986,False
AMICI2,64.45560780167648,69.94522968168748,134.40083748336394,False
MH,58.517454984524555,73.41977531677553,131.93723030130008,False
BANCA,75.50338810508686,54.984692991225614,130.48808109631247,False
BICALC,60.25380233388337,68.70413010876808,128.95793244265144,False
DOLCI,56.7898573474932,66.3536791623102,123.1435365098034,False
IODIO,61.06274583797423,61.6283638292031,122.69110966717733,False
FARM,81.22092455531603,40.52951481706173,121.75043937237777,False
PUNTIFI8,59.04163415712684,61.535700411316014,120.57733456844286,False
PUNTIFI5,58.195976654759534,59.37889083741539,117.57486749217492,False
PUNTIFI2,52.675134993818176,61.98969467336481,114.66482966718299,False
FOTODIG,60.28587276747736,52.94663817604967,113.23251094352702,False
PUNTIFI1,49.199084084951195,58.3989109825728,107.597995067524,False
NTELCO,63.673490732589386,43.857939926662546,107.53143065925192,False
SPIDIF8,59.18810178553745,48.322579987724204,107.51068177326165,False
USOECO2,46.92762064859951,57.62328936517155,104.55091001377106,False
INTUSO1,50.77110009344553,52.71895970547533,103.49005979892087,False
FINAS,55.55241016157462,46.225242297800555,101.77765245937518,False
SCEFO2,49.19262511377911,50.94484311632707,100.13746823010618,False
NUMNU2,54.96356149702473,45.069380098439666,100.0329415954644,False
CBOV,47.408656625418956,51.7987524141942,99.20740903961315,False
LQUOT,53.33297663495783,44.69727216563276,98.03024880059058,False
LAVATR,43.60107132677985,53.309363806368154,96.91043513314801,False
INTATT14,61.51516519326862,32.536582110092056,94.05174730336068,False
SESSO,37.15366013471522,54.85301753493482,92.00667766965003,False
INTUSO2,44.53828623052032,46.97362107494739,91.5119073054677,False
INTCOM,45.58517261181475,43.754344956017235,89.33951756783199,False
VICINI,46.58589188042758,42.69943680123863,89.28532868166621,False
OSTEO,44.36907574467949,44.3589440448119,88.72801978949138,False
USOPUL,52.23352709476527,36.21936857521368,88.45289566997894,False
DISCO,48.90590318414948,37.30039334273088,86.20629652688035,False
VINO,52.55825764525196,33.1212515255465,85.67950917079847,False
DIBPO,40.23770898570501,43.89956861157275,84.13727759727776,False
ANSANG12,54.28091536271967,29.82039289982689,84.10130826254655,False
COLAZ,40.3339946721459,42.19108484050645,82.52507951265235,False
RELAM,37.915173342496175,41.36553063179715,79.28070397429332,False
FARMA,32.42726151431931,42.852323320862396,75.27958483518171,False
SPIDIF6,37.64495738325507,35.12455303314333,72.76951041639839,False
NOSETT,38.87853666942373,33.86602664368406,72.74456331310779,False
TELCIN,41.56700137427856,30.41873944803321,71.98574082231177,False
INCOMU7,40.39149064257351,31.569486346605768,71.96097698917927,False
ACCER12,40.21452354261785,31.659635648720933,71.87415919133878,False
INTALTSAL,35.02497068474173,36.79553103796355,71.82050172270527,False
VISMED12,35.32463820678982,35.18248143832816,70.50711964511798,False
CINE,43.21861909102078,27.045896403834135,70.26451549485492,False
SPIDIF7,35.303675248847505,33.54996451124845,68.85363976009594,False
CCRED,37.36185464523669,31.39623469579701,68.7580893410337,False
INCOMU6,30.710654473222473,37.09062814718421,67.80128262040668,False
CONDMi,36.495978651315305,31.165284973407058,67.66126362472237,False
PUNTIFI13,37.38875838974962,29.045784789254817,66.43454317900444,False
ESIG,27.958062851600644,38.37978874547272,66.33785159707337,False
PCOPECO,41.57482825568064,23.348983234468054,64.9238114901487,False
MERCAT,32.418392486721636,32.43515709534404,64.85354958206568,False
UFFPO,29.94636175881709,34.42166780063533,64.36802955945242,False
INTUSO3,28.838373754599733,34.9190134548324,63.75738720943214,False
INTSAL3,29.751053013284398,33.796123685874626,63.547176699159024,False
LIMCOO,29.785591809124952,29.907231883330315,59.69282369245526,False
TELE,27.790288566248485,31.893181873808544,59.68347044005703,False
SPOSAL,27.760986799451832,31.47628179656422,59.23726859601605,False
RACCO,29.14601841817101,28.310398051209315,57.45641646938033,False
GCONT,28.7999020767781,28.625795448669177,57.425697525447276,False
TELCOL,29.716875535492004,26.28926532335861,56.006140858850614,False
INTFASC,24.3411199992342,31.42375704509322,55.76487704432742,False
FGRAS,29.93587552030404,25.209441270172917,55.145316790476954,False
INTATT11,38.148423215751265,16.01573776018266,54.164160975933925,False
ATTFIS,26.398561785605388,27.639623058530567,54.038184844135955,False
GASPR2,24.405054947800572,28.735918188399395,53.14097313619997,False
INTATT8,35.094596839491594,17.321974215871553,52.41657105536315,False
UFFAN,37.22427923522194,14.88199344172227,52.106272676944215,False
VCOC,31.52935621315027,18.64579525256583,50.1751514657161,False
SICURET,21.667281207607335,26.584300527917225,48.25158173552456,False
ASSDO,23.734985316489947,24.28914258469927,48.02412790118922,False
AGFORN,21.12571806004657,25.78528683648985,46.91100489653642,False
RPENS,30.31779014992191,16.26451110341146,46.58230125333337,False
LEZPR,26.469675018658737,19.488492738221876,45.95816775688061,False
RPARA,24.225844710137427,21.113798678372362,45.339643388509785,False
TLADO,21.35998913895483,23.909182551957812,45.26917169091264,False
PZFRUTTA,22.855769304844017,21.393406044056416,44.24917534890044,False
POLLO,21.46588512124107,22.454090580123157,43.91997570136422,False
FIDUCIA,21.93661678601918,21.600937322444953,43.537554108464136,False
TIPFA2Mi,24.0872605486252,18.112596581868747,42.199857130493946,False
VOLON,22.15214529335591,19.6840147676315,41.83616006098741,False
TABNB,16.005714870268722,25.812846315154687,41.818561185423405,False
SMERC,19.184660729252766,21.58505826523942,40.76971899449219,False
POLICE,16.81342026755904,23.86843659101938,40.68185685857841,False
AMBIENTE,18.68528777980365,21.778257579647065,40.46354535945072,False
UFFCOM,17.73631851536301,22.510917462547443,40.24723597791045,False
PARCHI,16.152706567145955,23.284100221293468,39.436806788439426,False
CRARIF,16.63956905915141,20.443059772511415,37.082628831662824,False
INTATT30B,18.398948705307937,16.602244211711742,35.00119291701968,False
GASBAL,18.96412404198908,15.907705239680764,34.87182928166985,False
SODPOAPO,19.063033115163133,15.520323708022524,34.58335682318565,False
FIDU3,18.51608789172986,15.565808038837302,34.081895930567164,False
BMI,19.425376499742516,13.534564722141702,32.95994122188422,False
SGAS,15.466715326608778,17.35528352583497,32.82199885244375,False
PZVERD,16.080315099029693,16.528032112662956,32.608347211692646,False
NAUTOM,21.28611656008484,11.262088791031085,32.548205351115925,False
AGPRESS,11.145132850460168,19.715578644897988,30.860711495358156,False
AGFATTUR,13.944378799323815,16.249957066371167,30.19433586569498,False
RISCAL,8.979150094820353,20.122697589736568,29.101847684556923,False
ABICC,12.06607807009822,15.773568849064937,27.839646919163158,False
SITEC,14.89244969444942,12.730781806937324,27.623231501386744,False
TEMLIB,12.743186364982643,14.237428073725583,26.980614438708226,False
ACQUA,13.086029267565433,13.761306431696402,26.847335699261833,False
SENELE,12.087917712366567,13.922656633554089,26.010574345920656,False
PCOPE_SF,12.181754484757862,13.530576211193798,25.71233069595166,False
PATATE,11.377068707862621,14.19178452768896,25.56885323555158,False
SPIDIF5,12.194110799794824,13.153815711896474,25.3479265116913,False
SPSPO,11.9943450046783,12.723515909383824,24.717860914062122,False
ISTRMi,14.963281138088092,8.895274975099703,23.858556113187795,False
SODACQUA,8.687551804209868,13.751806753867868,22.439358558077735,False
