feature,description,cluster_0,cluster_1,cluster_2
INTTEMPO,Internet use frequency,-0.5184456151616208,-0.5548129161865599,1.5030803292947286
PCTEMPO,Has ever used a personal computer,-0.05928752818056044,-0.7077988884804061,1.0554488993158233
PCOPE_FILE,Copied or moved files between folders,-0.2732432850553627,0.7998579922417963,-0.7055741017071792
PCOPEWO,Used word-processing software (last 3 months),-0.7709182103226995,0.32399780190584954,0.6595040705260162
ETAMi,Age in completed years,-0.2979529665352049,-0.3781918011090125,0.9451940407640524
PWEB,Informs about politics through the internet,-0.2569499042617046,0.7452730289337147,-0.6540534855450026
INTATT11,Used online banking services (last 3 months),-0.720296018991705,0.2709579537151394,0.6597547628642698
PCOPE_SF,Installed/loaded software or apps (last 3 months),-0.7277702562135232,0.32204506411097183,0.6004034972046315
PCOPE_PASTE,Copied/pasted content between files,-0.7381058857096283,0.36366856293093525,0.5581259929308432
INTATT30A,Watched on-demand video (last 3 months),-0.15120872337920047,0.653449652152736,-0.6795393533366137
INTATT16,Searched for info on goods or services (last 3 months),-0.6847259112061432,0.31206192993778986,0.5524628724051887
PCOPEPH,Uploaded/copied photos,-0.22945776130988832,0.655051662782501,-0.5697009260362575
