Combined evidence for SPRACQUA
L1 = selection frequency; ordinal = OrderedModel; binary = Logit 1 vs 2-4; shap = mean |SHAP|
================================================================================================================================================================
feature  | block     | selection_frequency | ordinal_coef | ordinal_OR | ordinal_p  | ordinal_sig | binary_OR | binary_p  | sign_agreement | perm_importance | mean_abs_shap | description                                               
---------+-----------+---------------------+--------------+------------+------------+-------------+-----------+-----------+----------------+-----------------+---------------+-----------------------------------------------------------
ETAMi    | SOCIO     |               1.000 |      -0.3025 |      0.739 | 1.334e-103 | ***         |     0.724 | 4.06e-110 | True           |          0.0187 |        0.0152 | Age in completed years                                    
CAMCLI   | ATTITUDES |               1.000 |      -0.1070 |      0.899 |  1.355e-22 | ***         |     0.917 | 7.518e-15 | True           |          0.0253 |        0.0152 | Worried: climate change                                   
ISTRMi   | SOCIO     |               0.367 |          nan |        nan |        nan | nan         |       nan |       nan | nan            |          0.0124 |        0.0111 | Educational attainment (highest qualification)            
SMARIF   | ATTITUDES |               1.000 |      -0.1280 |      0.880 |  1.588e-31 | ***         |     0.894 | 1.884e-23 | True           |          0.0151 |        0.0098 | Worried: waste production and disposal                    
STCIVMi  | SOCIO     |               1.000 |       0.0056 |      1.006 |     0.6761 |             |     0.994 |    0.6695 | False          |          0.0067 |        0.0084 | Marital status (reconstructed)                            
INQFIU   | ATTITUDES |               1.000 |      -0.1012 |      0.904 |  4.779e-20 | ***         |     0.915 | 3.612e-15 | True           |          0.0094 |        0.0081 | Worried: pollution of rivers and seas                     
REDPRMi  | SOCIO     |               1.000 |       0.0221 |      1.022 |     0.1139 |             |     1.011 |    0.4594 | False          |          0.0086 |        0.0072 | Main source of household income                           
CONDMi   | SOCIO     |               1.000 |       0.0701 |      1.073 |  4.329e-07 | ***         |     1.073 | 1.439e-06 | True           |          0.0068 |        0.0070 | Employment / professional condition                       
SESSO    | SOCIO     |               1.000 |      -0.1295 |      0.879 |  2.951e-31 | ***         |     0.891 | 6.798e-24 | True           |          0.0011 |        0.0070 | Sex (demographic sheet; 1 = male, 2 = female)             
IARIA    | ATTITUDES |               1.000 |      -0.1019 |      0.903 |  2.279e-20 | ***         |     0.919 |  7.04e-14 | True           |          0.0134 |        0.0070 | Worried: air pollution                                    
REGMf    | SPATIAL   |               1.000 |      -0.1081 |      0.898 |  8.438e-06 | ***         |     0.894 | 5.687e-06 | True           |          0.0055 |        0.0056 | Region of residence                                       
CATASTR  | ATTITUDES |               1.000 |      -0.0932 |      0.911 |  2.589e-17 | ***         |     0.924 | 2.864e-12 | True           |          0.0019 |        0.0047 | Worried: man-made catastrophes                            
