Combined evidence for SPRENER
L1 = selection frequency; ordinal = OrderedModel; binary = Logit 1 vs 2-4; shap = mean |SHAP|
================================================================================================================================================================
feature  | block     | selection_frequency | ordinal_coef | ordinal_OR | ordinal_p  | ordinal_sig | binary_OR | binary_p   | sign_agreement | perm_importance | mean_abs_shap | description                                               
---------+-----------+---------------------+--------------+------------+------------+-------------+-----------+------------+----------------+-----------------+---------------+-----------------------------------------------------------
ETAMi    | SOCIO     |               1.000 |      -0.3641 |      0.695 | 4.266e-145 | ***         |     0.686 | 5.076e-146 | True           |          0.0322 |        0.0181 | Age in completed years                                    
CAMCLI   | ATTITUDES |               1.000 |      -0.1256 |      0.882 |  2.264e-29 | ***         |     0.900 |  2.309e-20 | True           |          0.0168 |        0.0146 | Worried: climate change                                   
ISTRMi   | SOCIO     |               1.000 |      -0.0243 |      0.976 |    0.03153 | *           |     0.966 |   0.003254 | True           |          0.0115 |        0.0130 | Educational attainment (highest qualification)            
STCIVMi  | SOCIO     |               1.000 |      -0.0044 |      0.996 |     0.7474 |             |     0.989 |     0.4172 | False          |          0.0173 |        0.0113 | Marital status (reconstructed)                            
REDPRMi  | SOCIO     |               1.000 |       0.0435 |      1.044 |   0.001814 | **          |     1.029 |    0.04728 | True           |          0.0113 |        0.0077 | Main source of household income                           
SMARIF   | ATTITUDES |               1.000 |      -0.1226 |      0.885 |  5.276e-28 | ***         |     0.896 |   4.66e-22 | True           |          0.0101 |        0.0076 | Worried: waste production and disposal                    
INQFIU   | ATTITUDES |               1.000 |      -0.0996 |      0.905 |  9.301e-19 | ***         |     0.917 |  7.287e-14 | True           |          0.0103 |        0.0075 | Worried: pollution of rivers and seas                     
CONDMi   | SOCIO     |               1.000 |       0.0699 |      1.072 |  5.721e-07 | ***         |     1.074 |  8.532e-07 | True           |          0.0112 |        0.0069 | Employment / professional condition                       
IARIA    | ATTITUDES |               1.000 |      -0.1111 |      0.895 |  4.406e-23 | ***         |     0.910 |  1.623e-16 | True           |          0.0097 |        0.0066 | Worried: air pollution                                    
NCOMP    | SOCIO     |               1.000 |       0.0502 |      1.051 |  6.574e-05 | ***         |     1.058 |  1.129e-05 | True           |          0.0119 |        0.0063 | Number of household members                               
REGMf    | SPATIAL   |               1.000 |      -0.0442 |      0.957 |  0.0001243 | ***         |     0.948 |  5.005e-06 | True           |          0.0067 |        0.0048 | Region of residence                                       
CATASTR  | ATTITUDES |               1.000 |      -0.0809 |      0.922 |  4.943e-13 | ***         |     0.936 |  8.447e-09 | True           |          0.0026 |        0.0048 | Worried: man-made catastrophes                            
SESSO    | SOCIO     |               1.000 |      -0.1099 |      0.896 |  4.065e-22 | ***         |     0.905 |  1.286e-17 | True           |          0.0029 |        0.0044 | Sex (demographic sheet; 1 = male, 2 = female)             
FORES2   | ATTITUDES |               1.000 |      -0.0649 |      0.937 |  6.164e-09 | ***         |     0.948 |  3.564e-06 | True           |          0.0024 |        0.0033 | Worried: destruction of forests                           
DISDR    | ATTITUDES |               1.000 |      -0.0858 |      0.918 |  5.072e-14 | ***         |     0.929 |  2.595e-10 | True           |          0.0045 |        0.0029 | Worried: hydrogeological instability (earthquakes, floods)
SPORCO   | SPATIAL   |               0.517 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0040 |        0.0027 | Area problem: street litter                               
RIPMf    | SPATIAL   |               0.750 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0046 |        0.0026 | Geographic macro-area of residence                        
TIPFA2Mi | SOCIO     |               0.683 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0040 |        0.0025 | Household type (reconstructed)                            
ODSGR    | SPATIAL   |               0.667 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0055 |        0.0025 | Area problem: unpleasant odours                           
ILLSTR   | SPATIAL   |               0.050 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0070 |        0.0024 | Area problem: poor street lighting                        
CRIM     | SPATIAL   |               0.550 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0076 |        0.0023 | Area problem: risk of crime                               
PARCH    | SPATIAL   |               0.367 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0062 |        0.0022 | Area problem: parking difficulties                        
COLMP    | SPATIAL   |               0.050 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0069 |        0.0022 | Area problem: poor public-transport links                 
CONPAV   | SPATIAL   |               0.033 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0068 |        0.0022 | Area problem: poor road pavement conditions               
INQSU    | ATTITUDES |               1.000 |      -0.0799 |      0.923 |   2.54e-12 | ***         |     0.928 |  1.155e-10 | True           |         -0.0029 |        0.0021 | Worried: soil pollution                                   
INQAR    | SPATIAL   |               0.167 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0060 |        0.0019 | Area problem: air pollution                               
ESRISO2  | ATTITUDES |               1.000 |      -0.0564 |      0.945 |  3.386e-07 | ***         |     0.956 |  6.509e-05 | True           |          0.0050 |        0.0019 | Worried: depletion of natural resources                   
TRAF     | SPATIAL   |               0.983 |       0.0230 |      1.023 |    0.03887 | *           |     1.025 |    0.02726 | True           |          0.0002 |        0.0019 | Area problem: heavy traffic                               
RUMORE   | SPATIAL   |               0.333 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0024 |        0.0018 | Area problem: noise                                       
GODAB    | SPATIAL   |               0.733 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0023 |        0.0017 | Housing tenure status (owner/tenant...)                   
SERRA    | ATTITUDES |               1.000 |      -0.0863 |      0.917 |   1.91e-14 | ***         |     0.922 |  2.559e-12 | True           |          0.0021 |        0.0017 | Worried: greenhouse effect / ozone hole                   
ESTINZ   | ATTITUDES |               1.000 |      -0.0769 |      0.926 |  9.763e-12 | ***         |     0.936 |  9.681e-09 | True           |         -0.0003 |        0.0017 | Worried: extinction of animal/plant species               
AMRUM    | ATTITUDES |               0.933 |      -0.0255 |      0.975 |    0.02369 | *           |     0.973 |    0.01606 | True           |         -0.0007 |        0.0015 | Worried: noise                                            
ECOSTAZ  | SPATIAL   |               0.683 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0015 |        0.0014 | Ecological (recycling) stations present in the area       
PAESAG2  | ATTITUDES |               1.000 |      -0.0485 |      0.953 |  1.361e-05 | ***         |     0.963 |  0.0009539 | True           |          0.0004 |        0.0011 | Worried: landscape degradation (excessive building)       
INQELET2 | ATTITUDES |               1.000 |      -0.0653 |      0.937 |  7.333e-09 | ***         |     0.941 |  1.448e-07 | True           |         -0.0006 |        0.0010 | Worried: electromagnetic pollution                        
POAPO    | SPATIAL   |               0.450 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |          0.0041 |        0.0010 | Area served by door-to-door waste collection              
ALTAMB2  | ATTITUDES |               0.633 |          nan |        nan |        nan | nan         |       nan |        nan | nan            |         -0.0000 |        0.0000 | Worried: other environmental problems                     
