Phase 3 - OrderedModel (proportional odds) for SPRACQUA
Coefficients on standardised drivers; OR = exp(coef), per 1 SD. sig: *** p<0.001, ** p<0.01, * p<0.05
=============================================================================================================================================================
feature  | coef    | OR    | OR_lo | OR_hi | z       | p          | sig
---------+---------+-------+-------+-------+---------+------------+----
SESSO    | -0.1295 | 0.879 | 0.860 | 0.898 | -11.629 |  2.951e-31 | ***
ETAMi    | -0.3025 | 0.739 | 0.719 | 0.759 | -21.614 | 1.334e-103 | ***
CONDMi   |  0.0701 | 1.073 | 1.044 | 1.102 |   5.054 |  4.329e-07 | ***
REDPRMi  |  0.0221 | 1.022 | 0.995 | 1.051 |   1.581 |     0.1139 |    
TIPFA2Mi |  0.0288 | 1.029 | 1.004 | 1.055 |   2.317 |    0.02049 | *  
STCIVMi  |  0.0056 | 1.006 | 0.980 | 1.032 |   0.418 |     0.6761 |    
NCOMP    |  0.0161 | 1.016 | 0.988 | 1.045 |   1.136 |     0.2558 |    
SERRA    | -0.0979 | 0.907 | 0.887 | 0.927 |  -8.850 |  8.787e-19 | ***
ESTINZ   | -0.0866 | 0.917 | 0.897 | 0.937 |  -7.792 |    6.6e-15 | ***
CAMCLI   | -0.1070 | 0.899 | 0.879 | 0.918 |  -9.781 |  1.355e-22 | ***
SMARIF   | -0.1280 | 0.880 | 0.861 | 0.899 | -11.681 |  1.588e-31 | ***
AMRUM    | -0.0087 | 0.991 | 0.970 | 1.013 |  -0.792 |     0.4285 |    
IARIA    | -0.1019 | 0.903 | 0.884 | 0.923 |  -9.248 |  2.279e-20 | ***
INQSU    | -0.0937 | 0.911 | 0.891 | 0.931 |  -8.367 |  5.929e-17 | ***
INQFIU   | -0.1012 | 0.904 | 0.884 | 0.924 |  -9.169 |  4.779e-20 | ***
DISDR    | -0.0781 | 0.925 | 0.905 | 0.945 |  -7.026 |  2.121e-12 | ***
CATASTR  | -0.0932 | 0.911 | 0.892 | 0.931 |  -8.464 |  2.589e-17 | ***
FORES2   | -0.0711 | 0.931 | 0.912 | 0.952 |  -6.479 |  9.253e-11 | ***
INQELET2 | -0.0672 | 0.935 | 0.915 | 0.956 |  -6.073 |  1.254e-09 | ***
PAESAG2  | -0.0354 | 0.965 | 0.945 | 0.986 |  -3.264 |   0.001098 | ** 
ESRISO2  | -0.0728 | 0.930 | 0.910 | 0.950 |  -6.669 |  2.568e-11 | ***
REGMf    | -0.1081 | 0.898 | 0.856 | 0.941 |  -4.454 |  8.438e-06 | ***
RIPMf    |  0.0708 | 1.073 | 1.025 | 1.124 |   3.019 |   0.002532 | ** 
SPORCO   | -0.0371 | 0.964 | 0.940 | 0.988 |  -2.951 |    0.00317 | ** 
TRAF     |  0.0425 | 1.043 | 1.019 | 1.069 |   3.480 |  0.0005014 | ***
ODSGR    | -0.0290 | 0.971 | 0.948 | 0.995 |  -2.345 |    0.01905 | *  
ECOSTAZ  |  0.0256 | 1.026 | 1.004 | 1.048 |   2.359 |    0.01834 | *  

Average marginal effects on P(class) - logit scale probabilities
================================================================
class   | feature  | ME       | SE      | z       | p        
--------+----------+----------+---------+---------+----------
class 0 | SESSO    |  0.02681 | 0.00229 |  11.693 |         0
class 0 | ETAMi    |  0.06261 | 0.00285 |  21.991 |         0
class 0 | CONDMi   | -0.01451 | 0.00287 |  -5.055 |  4.31e-07
class 0 | REDPRMi  | -0.00458 | 0.00290 |  -1.581 |    0.1139
class 0 | TIPFA2Mi | -0.00596 | 0.00257 |  -2.318 |   0.02045
class 0 | STCIVMi  | -0.00115 | 0.00275 |  -0.418 |    0.6761
class 0 | NCOMP    | -0.00333 | 0.00293 |  -1.137 |    0.2557
class 0 | SERRA    |  0.02026 | 0.00228 |   8.877 |         0
class 0 | ESTINZ   |  0.01792 | 0.00230 |   7.807 | 5.773e-15
class 0 | CAMCLI   |  0.02214 | 0.00226 |   9.811 |         0
class 0 | SMARIF   |  0.02649 | 0.00226 |  11.741 |         0
class 0 | AMRUM    |  0.00180 | 0.00227 |   0.792 |    0.4285
class 0 | IARIA    |  0.02108 | 0.00227 |   9.274 |         0
class 0 | INQSU    |  0.01939 | 0.00231 |   8.390 |         0
class 0 | INQFIU   |  0.02093 | 0.00228 |   9.195 |         0
class 0 | DISDR    |  0.01616 | 0.00230 |   7.039 | 1.937e-12
class 0 | CATASTR  |  0.01928 | 0.00227 |   8.485 |         0
class 0 | FORES2   |  0.01471 | 0.00227 |   6.486 | 8.795e-11
class 0 | INQELET2 |  0.01390 | 0.00229 |   6.081 | 1.191e-09
class 0 | PAESAG2  |  0.00733 | 0.00225 |   3.265 |  0.001096
class 0 | ESRISO2  |  0.01507 | 0.00226 |   6.678 | 2.415e-11
class 0 | REGMf    |  0.02238 | 0.00502 |   4.457 | 8.327e-06
class 0 | RIPMf    | -0.01466 | 0.00485 |  -3.020 |  0.002525
class 0 | SPORCO   |  0.00767 | 0.00260 |   2.952 |  0.003158
class 0 | TRAF     | -0.00880 | 0.00253 |  -3.482 | 0.0004972
class 0 | ODSGR    |  0.00600 | 0.00256 |   2.345 |   0.01901
class 0 | ECOSTAZ  | -0.00530 | 0.00225 |  -2.359 |    0.0183
class 1 | SESSO    |  0.00371 | 0.00035 |  10.551 |         0
class 1 | ETAMi    |  0.00867 | 0.00053 |  16.327 |         0
class 1 | CONDMi   | -0.00201 | 0.00040 |  -4.963 | 6.946e-07
class 1 | REDPRMi  | -0.00063 | 0.00040 |  -1.578 |    0.1146
class 1 | TIPFA2Mi | -0.00083 | 0.00036 |  -2.307 |   0.02106
class 1 | STCIVMi  | -0.00016 | 0.00038 |  -0.418 |    0.6761
class 1 | NCOMP    | -0.00046 | 0.00041 |  -1.135 |    0.2563
class 1 | SERRA    |  0.00281 | 0.00034 |   8.338 |         0
class 1 | ESTINZ   |  0.00248 | 0.00033 |   7.443 | 9.814e-14
class 1 | CAMCLI   |  0.00307 | 0.00034 |   9.124 |         0
class 1 | SMARIF   |  0.00367 | 0.00035 |  10.588 |         0
class 1 | AMRUM    |  0.00025 | 0.00031 |   0.791 |    0.4287
class 1 | IARIA    |  0.00292 | 0.00034 |   8.686 |         0
