Phase 3 - OrderedModel (proportional odds) for SPRENER
Coefficients on standardised drivers; OR = exp(coef), per 1 SD. sig: *** p<0.001, ** p<0.01, * p<0.05
============================================================================================================================================================
feature  | coef    | OR    | OR_lo | OR_hi | z       | p          | sig
---------+---------+-------+-------+-------+---------+------------+----
SESSO    | -0.1099 | 0.896 | 0.876 | 0.916 |  -9.669 |  4.065e-22 | ***
ETAMi    | -0.3641 | 0.695 | 0.676 | 0.714 | -25.650 | 4.266e-145 | ***
ISTRMi   | -0.0243 | 0.976 | 0.955 | 0.998 |  -2.150 |    0.03153 | *  
CONDMi   |  0.0699 | 1.072 | 1.043 | 1.102 |   5.000 |  5.721e-07 | ***
REDPRMi  |  0.0435 | 1.044 | 1.016 | 1.073 |   3.119 |   0.001814 | ** 
STCIVMi  | -0.0044 | 0.996 | 0.969 | 1.023 |  -0.322 |     0.7474 |    
NCOMP    |  0.0502 | 1.051 | 1.026 | 1.078 |   3.991 |  6.574e-05 | ***
SERRA    | -0.0863 | 0.917 | 0.897 | 0.938 |  -7.657 |   1.91e-14 | ***
ESTINZ   | -0.0769 | 0.926 | 0.906 | 0.947 |  -6.810 |  9.763e-12 | ***
CAMCLI   | -0.1256 | 0.882 | 0.863 | 0.901 | -11.252 |  2.264e-29 | ***
SMARIF   | -0.1226 | 0.885 | 0.865 | 0.904 | -10.971 |  5.276e-28 | ***
AMRUM    | -0.0255 | 0.975 | 0.953 | 0.997 |  -2.262 |    0.02369 | *  
IARIA    | -0.1111 | 0.895 | 0.875 | 0.915 |  -9.894 |  4.406e-23 | ***
INQSU    | -0.0799 | 0.923 | 0.903 | 0.944 |  -7.001 |   2.54e-12 | ***
INQFIU   | -0.0996 | 0.905 | 0.885 | 0.925 |  -8.843 |  9.301e-19 | ***
DISDR    | -0.0858 | 0.918 | 0.898 | 0.939 |  -7.530 |  5.072e-14 | ***
CATASTR  | -0.0809 | 0.922 | 0.902 | 0.943 |  -7.227 |  4.943e-13 | ***
FORES2   | -0.0649 | 0.937 | 0.917 | 0.958 |  -5.812 |  6.164e-09 | ***
INQELET2 | -0.0653 | 0.937 | 0.916 | 0.958 |  -5.783 |  7.333e-09 | ***
PAESAG2  | -0.0485 | 0.953 | 0.932 | 0.974 |  -4.350 |  1.361e-05 | ***
ESRISO2  | -0.0564 | 0.945 | 0.925 | 0.966 |  -5.101 |  3.386e-07 | ***
REGMf    | -0.0442 | 0.957 | 0.935 | 0.979 |  -3.837 |  0.0001243 | ***
TRAF     |  0.0230 | 1.023 | 1.001 | 1.046 |   2.066 |    0.03887 | *  

Average marginal effects on P(class) - logit scale probabilities
================================================================
class   | feature  | ME       | SE      | z       | p        
--------+----------+----------+---------+---------+----------
class 0 | SESSO    |  0.02189 | 0.00225 |   9.709 |         0
class 0 | ETAMi    |  0.07249 | 0.00275 |  26.342 |         0
class 0 | ISTRMi   |  0.00484 | 0.00225 |   2.151 |   0.03149
class 0 | CONDMi   | -0.01391 | 0.00278 |  -5.000 | 5.734e-07
class 0 | REDPRMi  | -0.00867 | 0.00278 |  -3.119 |  0.001812
class 0 | STCIVMi  |  0.00087 | 0.00271 |   0.322 |    0.7474
class 0 | NCOMP    | -0.00999 | 0.00250 |  -3.996 |  6.45e-05
class 0 | SERRA    |  0.01718 | 0.00224 |   7.676 | 1.643e-14
class 0 | ESTINZ   |  0.01530 | 0.00224 |   6.820 | 9.095e-12
class 0 | CAMCLI   |  0.02501 | 0.00221 |  11.311 |         0
class 0 | SMARIF   |  0.02442 | 0.00221 |  11.028 |         0
class 0 | AMRUM    |  0.00508 | 0.00225 |   2.262 |   0.02368
class 0 | IARIA    |  0.02212 | 0.00223 |   9.933 |         0
class 0 | INQSU    |  0.01590 | 0.00227 |   7.015 | 2.292e-12
class 0 | INQFIU   |  0.01983 | 0.00224 |   8.871 |         0
class 0 | DISDR    |  0.01708 | 0.00226 |   7.549 | 4.374e-14
class 0 | CATASTR  |  0.01610 | 0.00222 |   7.241 | 4.468e-13
class 0 | FORES2   |  0.01293 | 0.00222 |   5.819 | 5.931e-09
class 0 | INQELET2 |  0.01301 | 0.00225 |   5.791 | 6.988e-09
class 0 | PAESAG2  |  0.00965 | 0.00222 |   4.353 | 1.344e-05
class 0 | ESRISO2  |  0.01123 | 0.00220 |   5.105 | 3.314e-07
class 0 | REGMf    |  0.00879 | 0.00229 |   3.839 | 0.0001234
class 0 | TRAF     | -0.00458 | 0.00222 |  -2.066 |   0.03881
class 1 | SESSO    |  0.00363 | 0.00040 |   9.085 |         0
class 1 | ETAMi    |  0.01201 | 0.00065 |  18.389 |         0
class 1 | ISTRMi   |  0.00080 | 0.00037 |   2.143 |   0.03211
class 1 | CONDMi   | -0.00230 | 0.00047 |  -4.923 |  8.53e-07
class 1 | REDPRMi  | -0.00144 | 0.00046 |  -3.100 |  0.001937
class 1 | STCIVMi  |  0.00014 | 0.00045 |   0.322 |    0.7474
class 1 | NCOMP    | -0.00165 | 0.00042 |  -3.942 | 8.068e-05
class 1 | SERRA    |  0.00285 | 0.00039 |   7.351 | 1.961e-13
class 1 | ESTINZ   |  0.00254 | 0.00038 |   6.599 | 4.132e-11
class 1 | CAMCLI   |  0.00414 | 0.00040 |  10.362 |         0
class 1 | SMARIF   |  0.00405 | 0.00040 |  10.130 |         0
class 1 | AMRUM    |  0.00084 | 0.00037 |   2.254 |    0.0242
class 1 | IARIA    |  0.00367 | 0.00040 |   9.273 |         0
class 1 | INQSU    |  0.00264 | 0.00039 |   6.767 | 1.312e-11
class 1 | INQFIU   |  0.00329 | 0.00039 |   8.392 |         0
class 1 | DISDR    |  0.00283 | 0.00039 |   7.241 | 4.456e-13
class 1 | CATASTR  |  0.00267 | 0.00038 |   6.976 | 3.033e-12
class 1 | FORES2   |  0.00214 | 0.00038 |   5.680 | 1.349e-08
class 1 | INQELET2 |  0.00216 | 0.00038 |   5.649 | 1.616e-08
class 1 | PAESAG2  |  0.00160 | 0.00037 |   4.294 | 1.758e-05
class 1 | ESRISO2  |  0.00186 | 0.00037 |   5.011 | 5.428e-07
class 1 | REGMf    |  0.00146 | 0.00038 |   3.797 | 0.0001466
class 1 | TRAF     | -0.00076 | 0.00037 |  -2.059 |   0.03952
class 2 | SESSO    |  0.00042 | 0.00007 |   6.242 | 4.311e-10
class 2 | ETAMi    |  0.00140 | 0.00018 |   7.819 | 5.329e-15
class 2 | ISTRMi   |  0.00009 | 0.00004 |   2.082 |   0.03733
class 2 | CONDMi   | -0.00027 | 0.00006 |  -4.307 | 1.654e-05
class 2 | REDPRMi  | -0.00017 | 0.00006 |  -2.916 |  0.003541
class 2 | STCIVMi  |  0.00002 | 0.00005 |   0.322 |    0.7477
class 2 | NCOMP    | -0.00019 | 0.00005 |  -3.581 |  0.000342
class 2 | SERRA    |  0.00033 | 0.00006 |   5.590 | 2.266e-08
class 2 | ESTINZ   |  0.00030 | 0.00006 |   5.244 | 1.572e-07
class 2 | CAMCLI   |  0.00048 | 0.00007 |   6.617 | 3.654e-11
class 2 | SMARIF   |  0.00047 | 0.00007 |   6.559 | 5.412e-11
class 2 | AMRUM    |  0.00010 | 0.00004 |   2.182 |   0.02909
