Feature importance ranking - spracqua
=======================================================================================
rank | feature    | description                                            | importance
-----+------------+--------------------------------------------------------+-----------
   1 | USAGETT    | Uses single-use / disposable products                  |   0.043043
   2 | ARUMOR     | Avoids noisy driving behaviour                         |   0.042310
   3 | ALOCAL     | Buys local food/products                               |   0.041436
   4 | ETICHET    | Reads ingredients on food-product labels               |   0.036810
   5 | BIOLOG     | Buys organic food/products                             |   0.027792
   6 | PUNTIFI10  | Trust 0-10: municipal government                       |   0.026573
   7 | TRASPO     | Chooses transport alternatives to the private car      |   0.024872
   8 | PUNTIFI3   | Trust 0-10: police forces                              |   0.024827
   9 | LIBFAM     | Number of books in the household                       |   0.023572
  10 | FIDSCIE    | Trust 0-10: scientists                                 |   0.023027
  11 | ETAMi      | Age in completed years                                 |   0.023019
  12 | VOTOVI     | Life satisfaction 0-10                                 |   0.022300
  13 | PUNTIFI12  | Trust 0-10: fire brigade                               |   0.022176
  14 | FIDMED     | Trust 0-10: public health (SSN) doctors                |   0.021964
  15 | FIDINF     | Trust 0-10: other SSN personnel                        |   0.021535
  16 | AMICI      | Frequency of meeting friends in free time              |   0.021401
  17 | POLITI     | How often follows Italian politics                     |   0.020769
  18 | SICURO     | Feels safe walking alone in the dark in the area       |   0.018940
  19 | COSPO      | Post office: preferred hours if changeable             |   0.017749
  20 | VERD       | Consumption frequency: leaf vegetables                 |   0.017205
  21 | CORAR      | Public office: preferred hours if changeable           |   0.017115
  22 | BGAS       | Sugary drinks (excluding mineral water)                |   0.016925
  23 | COUSL      | ASL office: preferred hours if changeable              |   0.016909
  24 | NCOMP      | Number of household members                            |   0.016697
  25 | QTSALE     | Pays attention to salt intake                          |   0.016557
  26 | FRUTTA     | Consumption frequency: fresh fruit                     |   0.016290
  27 | NTELCELM   | Number of mobile phones owned                          |   0.016223
  28 | GCARTE     | Throws paper/cardboard in the street                   |   0.016151
  29 | FIDU1      | Lost wallet returned by a neighbour (probability)      |   0.015316
  30 | SALUMI     | Consumption frequency: cured meats                     |   0.015130
  31 | SNACK      | Consumption frequency: salty snacks                    |   0.014778
  32 | COV        | Consumption frequency: eggs                            |   0.014606
  33 | GOSPO      | Post office opening hours convenient                   |   0.014429
  34 | GORAR      | Public office opening hours convenient                 |   0.013596
  35 | GOUSL      | ASL office opening hours convenient                    |   0.013284
  36 | USOAUT     | USOAUT                                                 |   0.013126
  37 | FIDU2      | Lost wallet returned by a police officer (probability) |   0.013114
  38 | DOPFIL     | Parks the car in double file                           |   0.012179
  39 | RPNUC2     | Kinship relation in household nucleus 2                |   0.012065
  40 | ALCOL      | Alcohol intake indicator                               |   0.011944
  41 | RELPAR     | Kinship relation to the reference person               |   0.011773
  42 | PROIND     | Order number of the household member                   |   0.011396
  43 | STCIVMi    | Marital status (reconstructed)                         |   0.011001
  44 | BFPAS      | Alcohol consumption outside meals                      |   0.010008
  45 | PCTEMPO    | Has ever used a personal computer                      |   0.009791
  46 | LIQUOR     | LIQUOR                                                 |   0.009441
  47 | LIMITA     | Health limitations lasting >= 6 months                 |   0.008878
  48 | CAMCLI     | Worried: climate change                                |   0.008236
  49 | USOCEL     | Mobile phone use frequency                             |   0.007463
  50 | UFFPOS     | Went to a post office (last 12 months)                 |   0.007328
  51 | USOSS      | Went to a health authority (ASL) to book a visit       |   0.007300
  52 | LIBRI      | Bought books (last 3 months)                           |   0.006929
  53 | INTTEMPO   | Internet use frequency                                 |   0.006812
  54 | INTATT28B  | Played or downloaded games (last 3 months)             |   0.006386
  55 | INTATT30A  | Watched on-demand video (last 3 months)                |   0.006369
  56 | BANCM      | Owns a bancomat/ATM card                               |   0.006341
  57 | PWEB       | Informs about politics through the internet            |   0.006291
  58 | VGIOC      | Household owns a video-game console                    |   0.006261
  59 | INTATT7BN  | Watched streaming TV (last 3 months)                   |   0.006194
  60 | COM_STUD   | Used communication tools for study                     |   0.005764
  61 | PCOPEPH    | Uploaded/copied photos                                 |   0.005651
  62 | PCOPE_FILE | Copied or moved files between folders                  |   0.005551
  63 | LAVPAS     | Worked in the past                                     |   0.005224
  64 | MATDID     | Used online study material                             |   0.004840
  65 | TELCEL     | Household owns a mobile phone                          |   0.001017
