,importance
USAGETT,0.042829945194903206
ARUMOR,0.04236578742545424
ALOCAL,0.041663434839664386
ETICHET,0.03713401889187469
BIOLOG,0.028179360074616293
PUNTIFI10,0.026658612318494184
PUNTIFI3,0.02517450884072587
TRASPO,0.02504193891447759
LIBFAM,0.02411478038582152
FIDSCIE,0.023369876574722632
ETAMi,0.023310115722547875
VOTOVI,0.022591606555901037
PUNTIFI12,0.022507014317522823
FIDMED,0.021738386561297895
AMICI,0.021642276477440027
FIDINF,0.021578031353910045
POLITI,0.02114930350368565
SICURO,0.019088538443430125
COSPO,0.017947491776332022
VERD,0.01743024750793236
COUSL,0.01710532784295436
FRUTTA,0.017048581047883288
CORAR,0.016999515337800943
BGAS,0.01695657698849901
NCOMP,0.016682282675400756
GCARTE,0.016330272177863654
QTSALE,0.016081821867350243
NTELCELM,0.016051294670239875
SALUMI,0.015479189713758395
FIDU1,0.015244543589933457
SNACK,0.015037706211015403
COV,0.014989758728432214
GOSPO,0.014454808731230692
GORAR,0.013910413935073869
GOUSL,0.013291635533676132
FIDU2,0.01326139113585212
USOAUT,0.013064678600694216
RPNUC2,0.012260751208393749
DOPFIL,0.012254205799993353
RELPAR,0.012000344759443013
ALCOL,0.01196975089719583
PROIND,0.01132854569724508
STCIVMi,0.01096515901042687
BFPAS,0.010015886445410791
PCTEMPO,0.009928692356618233
LIQUOR,0.00956822520864802
LIMITA,0.008959528504827563
USOCEL,0.00749196912703646
UFFPOS,0.007470299178024012
USOSS,0.0071763923625265775
LIBRI,0.007008244643027319
INTTEMPO,0.006923674085804502
BANCM,0.006651056131081612
VGIOC,0.006408696378493598
INTATT30A,0.006364977573823125
INTATT28B,0.006339448003832319
PWEB,0.00623513406586778
INTATT7BN,0.0060980043844232525
PCOPEPH,0.00564254714963437
PCOPE_FILE,0.005607527912013091
COM_STUD,0.0055906825300345965
LAVPAS,0.005070566009744629
MATDID,0.004924496136271393
ASSANZAGG,0.0012699876842692359
TELCEL,0.0009701322874766479
