,importance
USAGETT,0.0489842314946547
ARUMOR,0.04475752328467786
ALOCAL,0.04159059720879364
ETICHET,0.03829713488285942
BIOLOG,0.030045539990588416
TRASPO,0.02762936861415953
PUNTIFI10,0.02628690650929226
PUNTIFI3,0.0241411953250464
ETAMi,0.02405340010112972
LIBFAM,0.023497989754873803
FIDSCIE,0.022975289489272473
VOTOVI,0.022378244441976534
PUNTIFI12,0.021439038477758653
FIDMED,0.021372893608945773
AMICI,0.021068675674672865
FIDINF,0.020930724786839276
POLITI,0.020795692325514443
SICURO,0.01901024292918844
COSPO,0.017412074649312676
VERD,0.017348838734181016
FRUTTA,0.016616277508709174
BGAS,0.016591584161082265
CORAR,0.016530330496063533
QTSALE,0.016438278557254195
COUSL,0.016329020617665668
NCOMP,0.01599562341232544
NTELCELM,0.015690746204550753
SALUMI,0.015387225146471468
COV,0.01509817450309463
SNACK,0.0150281617723099
FIDU1,0.014812041267006179
GCARTE,0.014786861061714495
GOSPO,0.01414950639498408
GORAR,0.013430720905124798
FIDU2,0.013043235445230327
DOPFIL,0.012940782096673768
USOAUT,0.012713310980002434
GOUSL,0.012649239274937189
RPNUC2,0.012119935127712539
RELPAR,0.01206614426517617
PROIND,0.011797021505426082
ALCOL,0.011782443858100913
STCIVMi,0.010401895721009002
PCTEMPO,0.009930834097416378
BFPAS,0.009582518461962891
LIQUOR,0.009384915404098231
LIMITA,0.008349168775573138
UFFPOS,0.007588385051257453
USOCEL,0.007309929699669608
USOSS,0.006938198955198023
INTTEMPO,0.0067985842621632875
LIBRI,0.006731157657041888
INTATT30A,0.006398793377865049
VGIOC,0.006368853877142567
BANCM,0.006347230584417819
INTATT7BN,0.006228193074710639
INTATT28B,0.006059631360309632
PWEB,0.006030707451141198
PCOPE_FILE,0.00574802075825811
PCOPEPH,0.005646626809485983
COM_STUD,0.0055661984831599474
LAVPAS,0.005338030641600658
MATDID,0.005122177577774134
ASSANZAGG,0.0012180105695233571
TELCEL,0.0008996705038671458
