rank_spracqua,feature,importance_spracqua,rank_sprener,importance_sprener,present_in_both_top20,mean_importance
1,USAGETT,0.042829945194903206,1,0.0489842314946547,True,0.045907088344778954
2,ARUMOR,0.04236578742545424,2,0.04475752328467786,True,0.04356165535506605
3,ALOCAL,0.041663434839664386,3,0.04159059720879364,True,0.04162701602422901
4,ETICHET,0.03713401889187469,4,0.03829713488285942,True,0.037715576887367055
5,BIOLOG,0.028179360074616293,5,0.030045539990588416,True,0.029112450032602356
6,PUNTIFI10,0.026658612318494184,7,0.02628690650929226,True,0.026472759413893224
8,TRASPO,0.02504193891447759,6,0.02762936861415953,True,0.02633565376431856
7,PUNTIFI3,0.02517450884072587,8,0.0241411953250464,True,0.024657852082886136
9,LIBFAM,0.02411478038582152,10,0.023497989754873803,True,0.02380638507034766
11,ETAMi,0.023310115722547875,9,0.02405340010112972,True,0.023681757911838797
10,FIDSCIE,0.023369876574722632,11,0.022975289489272473,True,0.023172583031997554
12,VOTOVI,0.022591606555901037,12,0.022378244441976534,True,0.022484925498938785
13,PUNTIFI12,0.022507014317522823,13,0.021439038477758653,True,0.02197302639764074
14,FIDMED,0.021738386561297895,14,0.021372893608945773,True,0.021555640085121834
15,AMICI,0.021642276477440027,15,0.021068675674672865,True,0.021355476076056444
16,FIDINF,0.021578031353910045,16,0.020930724786839276,True,0.021254378070374662
17,POLITI,0.02114930350368565,17,0.020795692325514443,True,0.020972497914600048
18,SICURO,0.019088538443430125,18,0.01901024292918844,True,0.019049390686309283
19,COSPO,0.017947491776332022,19,0.017412074649312676,True,0.017679783212822348
20,VERD,0.01743024750793236,20,0.017348838734181016,True,0.017389543121056686
