rank,feature,importance
1,USAGETT,0.042829945194903206
2,ARUMOR,0.04236578742545424
3,ALOCAL,0.041663434839664386
4,ETICHET,0.03713401889187469
5,BIOLOG,0.028179360074616293
6,PUNTIFI10,0.026658612318494184
7,PUNTIFI3,0.02517450884072587
8,TRASPO,0.02504193891447759
9,LIBFAM,0.02411478038582152
10,FIDSCIE,0.023369876574722632
11,ETAMi,0.023310115722547875
12,VOTOVI,0.022591606555901037
13,PUNTIFI12,0.022507014317522823
14,FIDMED,0.021738386561297895
15,AMICI,0.021642276477440027
16,FIDINF,0.021578031353910045
17,POLITI,0.02114930350368565
18,SICURO,0.019088538443430125
19,COSPO,0.017947491776332022
20,VERD,0.01743024750793236
