rank,feature,importance
1,USAGETT,0.0489842314946547
2,ARUMOR,0.04475752328467786
3,ALOCAL,0.04159059720879364
4,ETICHET,0.03829713488285942
5,BIOLOG,0.030045539990588416
6,TRASPO,0.02762936861415953
7,PUNTIFI10,0.02628690650929226
8,PUNTIFI3,0.0241411953250464
9,ETAMi,0.02405340010112972
10,LIBFAM,0.023497989754873803
11,FIDSCIE,0.022975289489272473
12,VOTOVI,0.022378244441976534
13,PUNTIFI12,0.021439038477758653
14,FIDMED,0.021372893608945773
15,AMICI,0.021068675674672865
16,FIDINF,0.020930724786839276
17,POLITI,0.020795692325514443
18,SICURO,0.01901024292918844
19,COSPO,0.017412074649312676
20,VERD,0.017348838734181016
